Company Name,Type,Country,AUM/Size (Est.),Decision Maker,Priority,Bitwise Products,Chorus One Products,Notes
DWS Group,Asset Manager,Germany,€820bn,Stefan Hoops (CEO),🔥🔥🔥,ETF Platform Crypto ETPs,Crypto Staking for Funds,Deutsche Bank Tochter. #1 in DE. Crypto-ETPs bereits im Angebot - upselling opportunity fuer Staking
Allianz Global Investors,Asset Manager,Germany,€500bn,Matthias Voelkel (CIO),🔥🔥🔥,Crypto ETPs Index Funds,Crypto Infrastructure,Allianz Konzern. Sehr konservativ aber großes Potenzial bei institutionellen Kunden
Union Investment,Asset Manager,Germany,€400bn,Jörg Römer (Vorstand),🔥🔥🔥,Crypto-Fonds ETPs,Staking Services,Genossenschaftsbanken Netzwerk. Kooperationspartner fuer regionale Banken
Dr. August Oetker KG,Family Office,Germany,€10bn+,Richard Oetker,🔥🔥,CISO Service Crypto Allocation,Private Staking,Crypto Valley Verbindungen. Sehr früh in Blockchain investiert
Klatten Holding (BMW),Family Office,Germany,€15bn+,Susanne Klatten,🔥🔥,Crypto Index Products,CISO Advisory,Deutschlands reichste Frau. Tech-Investments bekannt. Nachhaltigkeit wichtig
Brenninkmeijer Familie,Family Office,Germany/NL,€8bn+,Private Office,🔥🔥,ETP Allocation Staking,Crypto Infrastructure,C&A Erbe. International aufgestellt
Pictet Group,Private Bank,Switzerland,€700bn,Asset Management Team,🔥🔥🔥,Crypto ETPs Private Banking,CISO as Service,Premium Private Bank. "Finest not largest". Perfekt fuer CISO Service
Mirabaud Group,Private Bank,Switzerland,€50bn,Executive Committee,🔥🔥,Crypto Solutions ETPs,Staking Infrastructure,Swiss Private Bank mit Fokus auf Alternatives
Crypto Valley Labs,Family Office/Venture,Switzerland,€2bn+,Niklas Nikolajsen,🔥🔥🔥,Full Suite,Native Staking + Infrastructure,Zuger Crypto Hub. Wichtiger Partner fuer Web3 Credibility
Lombard Odier,Private Bank,Switzerland,€300bn,Investment Team,🔥🔥,Crypto ETPs CISO,Staking Services,Etablierte Swiss Bank. Sustainability Fokus
ADQ (Abu Dhabi Developmental Holding),Sovereign Wealth,UAE,€200bn+,Investment Committee,🔥🔥🔥,Full Bitwise Suite,Staking Infrastructure, bereits BlackRock Bitcoin ETF holder. Massives Crypto-Interesse
Mubadala Investment Company,Sovereign Wealth,UAE,€300bn+,Khaldoon Al Mubarak,🔥🔥🔥,ETF Platform CISO,Staking Solutions,Aktivste SWF 2025. Dh120bn deployed. Blockchain investments
Emirates Investment Authority,Sovereign Wealth,UAE,€100bn+,CEO Office,🔥🔥,Crypto Index Products,CISO Advisory, federal SWF. Konservativer aber groß
Dubai Future District Fund,Sovereign Wealth,UAE,€1bn+,CEO,🔥🔥,Crypto Ventures ETPs,Staking for DeFi,Dubai spezifisch. Tech-forward
ADGM Authority,Regulator/Investor,UAE,-,Leadership,🔥🔥,Partnership CISO,Chorus One Presence,$9 Trillion assets committed to ADGM. Wichtiger Partner
Schroders,Asset Manager,UK,£700bn,Peter Harrison (CEO),🔥🔥,Crypto ETPs Blockchain Funds,Staking Services,UK #1. Investment trusts embracing digital assets
Legal & General Investment Management,Asset Manager,UK,£1.2trn,Michelon (CEO),🔥🔥,Index Crypto ETPs,Staking Platform,UK größter Asset Manager. Passive-Strategien
Baillie Gifford,Asset Manager,UK,£200bn,Partners,🔥,Crypto Ventures ETPs,Early Stage Staking,Schottischer Asset Manager. Tech-Investments (Tesla etc). Nischen-Player
Ruffer Investment,Asset Manager,UK,£20bn,Investment Team,🔥,Crypto Allocation CISO,Advisory,Bekannt fuer Crypto-Investments (2020 Bitcoin Kauf)
